,path,crop,croplabel
0,/kaggle/input/kag2/sugarcane/sugarcane037ahs.jpeg,sugarcane,24
1,/kaggle/input/kag2/sugarcane/sugarcane034a.jpeg,sugarcane,24
2,/kaggle/input/kag2/sugarcane/sugarcane032arot.jpeg,sugarcane,24
3,/kaggle/input/kag2/sugarcane/sugarcane036ahs.jpeg,sugarcane,24
4,/kaggle/input/kag2/sugarcane/sugarcane023ahs.jpeg,sugarcane,24
5,/kaggle/input/kag2/sugarcane/sugarcane026a.jpeg,sugarcane,24
6,/kaggle/input/kag2/sugarcane/sugarcane0003ahs.jpeg,sugarcane,24
7,/kaggle/input/kag2/sugarcane/sugarcane017arot.jpeg,sugarcane,24
8,/kaggle/input/kag2/sugarcane/sugarcane005ahf.jpeg,sugarcane,24
9,/kaggle/input/kag2/sugarcane/sugarcane027arot.jpeg,sugarcane,24
10,/kaggle/input/kag2/sugarcane/sugarcane013ahs.jpeg,sugarcane,24
11,/kaggle/input/kag2/sugarcane/sugarcane014a.jpeg,sugarcane,24
12,/kaggle/input/kag2/sugarcane/sugarcane016ahf.jpeg,sugarcane,24
13,/kaggle/input/kag2/sugarcane/sugarcane028a.jpeg,sugarcane,24
14,/kaggle/input/kag2/sugarcane/sugarcane027ahf.jpeg,sugarcane,24
15,/kaggle/input/kag2/sugarcane/sugarcane016arot.jpeg,sugarcane,24
16,/kaggle/input/kag2/sugarcane/sugarcane019ahs.jpeg,sugarcane,24
17,/kaggle/input/kag2/sugarcane/sugarcane0004arot.jpeg,sugarcane,24
18,/kaggle/input/kag2/sugarcane/sugarcane009arot.jpeg,sugarcane,24
19,/kaggle/input/kag2/sugarcane/sugarcane034ahs.jpeg,sugarcane,24
20,/kaggle/input/kag2/sugarcane/sugarcane027a.jpeg,sugarcane,24
21,/kaggle/input/kag2/sugarcane/sugarcane025arot.jpeg,sugarcane,24
22,/kaggle/input/kag2/sugarcane/sugarcane030ahf.jpeg,sugarcane,24
23,/kaggle/input/kag2/sugarcane/sugarcane009a.jpeg,sugarcane,24
24,/kaggle/input/kag2/sugarcane/sugarcane031a.jpeg,sugarcane,24
25,/kaggle/input/kag2/sugarcane/sugarcane0002arot.jpeg,sugarcane,24
26,/kaggle/input/kag2/sugarcane/sugarcane028ahs.jpeg,sugarcane,24
27,/kaggle/input/kag2/sugarcane/sugarcane020ahs.jpeg,sugarcane,24
28,/kaggle/input/kag2/sugarcane/sugarcane021arot.jpeg,sugarcane,24
29,/kaggle/input/kag2/sugarcane/sugarcane0003ahf.jpeg,sugarcane,24
30,/kaggle/input/kag2/sugarcane/sugarcane008ahs.jpeg,sugarcane,24
31,/kaggle/input/kag2/sugarcane/sugarcane016a.jpeg,sugarcane,24
32,/kaggle/input/kag2/sugarcane/sugarcane025ahs.jpeg,sugarcane,24
33,/kaggle/input/kag2/sugarcane/sugarcane031ahs.jpeg,sugarcane,24
34,/kaggle/input/kag2/sugarcane/sugarcane017ahs.jpeg,sugarcane,24
35,/kaggle/input/kag2/sugarcane/sugarcane039ahs.jpeg,sugarcane,24
36,/kaggle/input/kag2/sugarcane/sugarcane036ahf.jpeg,sugarcane,24
37,/kaggle/input/kag2/sugarcane/sugarcane0011a.jpeg,sugarcane,24
38,/kaggle/input/kag2/sugarcane/sugarcane018ahf.jpeg,sugarcane,24
39,/kaggle/input/kag2/sugarcane/sugarcane0010arot.jpeg,sugarcane,24
40,/kaggle/input/kag2/sugarcane/sugarcane033ahf.jpeg,sugarcane,24
41,/kaggle/input/kag2/sugarcane/sugarcane030arot.jpeg,sugarcane,24
42,/kaggle/input/kag2/sugarcane/sugarcane022ahs.jpeg,sugarcane,24
43,/kaggle/input/kag2/sugarcane/sugarcane006ahf.jpeg,sugarcane,24
44,/kaggle/input/kag2/sugarcane/sugarcane007ahf.jpeg,sugarcane,24
45,/kaggle/input/kag2/sugarcane/sugarcane030a.jpeg,sugarcane,24
46,/kaggle/input/kag2/sugarcane/sugarcane0002ahs.jpeg,sugarcane,24
47,/kaggle/input/kag2/sugarcane/sugarcane027ahs.jpeg,sugarcane,24
48,/kaggle/input/kag2/sugarcane/sugarcane040a.jpeg,sugarcane,24
49,/kaggle/input/kag2/sugarcane/sugarcane032a.jpeg,sugarcane,24
50,/kaggle/input/kag2/sugarcane/sugarcane017ahf.jpeg,sugarcane,24
51,/kaggle/input/kag2/sugarcane/sugarcane035arot.jpeg,sugarcane,24
52,/kaggle/input/kag2/sugarcane/sugarcane007ahs.jpeg,sugarcane,24
53,/kaggle/input/kag2/sugarcane/sugarcane035ahf.jpeg,sugarcane,24
54,/kaggle/input/kag2/sugarcane/sugarcane039arot.jpeg,sugarcane,24
55,/kaggle/input/kag2/sugarcane/sugarcane037a.jpeg,sugarcane,24
56,/kaggle/input/kag2/sugarcane/sugarcane012ahf.jpeg,sugarcane,24
57,/kaggle/input/kag2/sugarcane/sugarcane031arot.jpeg,sugarcane,24
58,/kaggle/input/kag2/sugarcane/sugarcane020a.jpeg,sugarcane,24
59,/kaggle/input/kag2/sugarcane/sugarcane013arot.jpeg,sugarcane,24
60,/kaggle/input/kag2/sugarcane/sugarcane024a.jpeg,sugarcane,24
61,/kaggle/input/kag2/sugarcane/sugarcane005ahs.jpeg,sugarcane,24
62,/kaggle/input/kag2/sugarcane/sugarcane0003arot.jpeg,sugarcane,24
63,/kaggle/input/kag2/sugarcane/sugarcane035a.jpeg,sugarcane,24
64,/kaggle/input/kag2/sugarcane/sugarcane0004ahf.jpeg,sugarcane,24
65,/kaggle/input/kag2/sugarcane/sugarcane013a.jpeg,sugarcane,24
66,/kaggle/input/kag2/sugarcane/sugarcane0004a.jpeg,sugarcane,24
67,/kaggle/input/kag2/sugarcane/sugarcane039ahf.jpeg,sugarcane,24
68,/kaggle/input/kag2/sugarcane/sugarcane018a.jpeg,sugarcane,24
69,/kaggle/input/kag2/sugarcane/sugarcane016ahs.jpeg,sugarcane,24
70,/kaggle/input/kag2/sugarcane/sugarcane0010ahf.jpeg,sugarcane,24
71,/kaggle/input/kag2/sugarcane/sugarcane009ahs.jpeg,sugarcane,24
72,/kaggle/input/kag2/sugarcane/sugarcane0001arot.jpeg,sugarcane,24
73,/kaggle/input/kag2/sugarcane/sugarcane025a.jpeg,sugarcane,24
74,/kaggle/input/kag2/sugarcane/sugarcane007arot.jpeg,sugarcane,24
75,/kaggle/input/kag2/sugarcane/sugarcane019arot.jpeg,sugarcane,24
76,/kaggle/input/kag2/sugarcane/sugarcane0011ahf.jpeg,sugarcane,24
77,/kaggle/input/kag2/sugarcane/sugarcane023ahf.jpeg,sugarcane,24
78,/kaggle/input/kag2/sugarcane/sugarcane026ahs.jpeg,sugarcane,24
79,/kaggle/input/kag2/sugarcane/sugarcane015ahs.jpeg,sugarcane,24
80,/kaggle/input/kag2/sugarcane/sugarcane038a.jpeg,sugarcane,24
81,/kaggle/input/kag2/sugarcane/sugarcane021ahs.jpeg,sugarcane,24
82,/kaggle/input/kag2/sugarcane/sugarcane020ahf.jpeg,sugarcane,24
83,/kaggle/input/kag2/sugarcane/sugarcane0001ahs.jpeg,sugarcane,24
84,/kaggle/input/kag2/sugarcane/sugarcane029a.jpeg,sugarcane,24
85,/kaggle/input/kag2/sugarcane/sugarcane019a.jpeg,sugarcane,24
86,/kaggle/input/kag2/sugarcane/sugarcane038arot.jpeg,sugarcane,24
87,/kaggle/input/kag2/sugarcane/sugarcane026arot.jpeg,sugarcane,24
88,/kaggle/input/kag2/sugarcane/sugarcane031ahf.jpeg,sugarcane,24
